enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E336,1,0.06666666667,0,0.1548619057,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E337,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E338,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E339,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E340,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E341,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E342,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E343,1,0.06666666667,0,1.333946815e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E344,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E345,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E346,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E347,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E348,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E349,1,0.06666666667,0,0.0175100672,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E350,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E351,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E352,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E353,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E354,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E355,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E356,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E357,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E358,2,0.1333333333,0,1.59629952e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E359,1,0.06666666667,0,1.278471425e-07,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E360,2,0.1333333333,0,0.1428571429,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E361,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E362,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E363,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E364,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E365,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E366,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E367,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E368,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E369,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E370,1,0.06666666667,0,5.301037344e-06,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E371,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E372,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E373,1,0.06666666667,0,0.49627877,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E374,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E375,1,0.06666666667,0,1.278471425e-07,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E376,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E377,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E378,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E379,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E380,2,0.1333333333,0,4.682387553e-06,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E381,2,0.1333333333,0,3.958201487,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E382,1,0.06666666667,0,0.0175100672,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E383,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E384,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E385,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E386,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E387,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E388,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E389,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E390,3,0.2,0,0.0175100672,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E391,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E392,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
