scenario_id,scenario_kind,sensitivity_axis,industry_code,growth_yoy_pct,d_h_pp,S_h,D_identity,D_light,D_medium,D_severe,identity_multiplier,light_multiplier,medium_multiplier,severe_multiplier,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,known_S_p50_value,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,parameter_source,duration_assumption,lgd,funding_cost_rate
sensitivity_c_pp_20p0,single_factor,c_pp,other_services,-1.8,1.8,0.09,0.0,0.045,0.09,0.135,1.0,1.01125,1.0225,1.03375,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,real_estate,-6.1,6.1,0.305,0.0,0.1525,0.305,0.4575,1.0,1.038125,1.07625,1.114375,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,transport_storage_post,-14.0,14.0,0.7,0.0,0.35,0.7,1.0,1.0,1.0875,1.175,1.25,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,unknown,,20.0,1.0,0.0,0.5,1.0,1.0,1.0,1.125,1.25,1.25,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption_derived_policy,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,wholesale_retail,-17.8,17.8,0.89,0.0,0.445,0.89,1.0,1.0,1.11125,1.2225,1.25,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,accommodation_catering,-35.3,35.3,0.5883333333333333,0.0,0.29416666666666663,0.5883333333333333,0.8824999999999998,1.0,1.0735416666666666,1.1470833333333332,1.220625,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,agriculture,-2.8,2.8,0.04666666666666666,0.0,0.02333333333333333,0.04666666666666666,0.06999999999999999,1.0,1.0058333333333334,1.0116666666666667,1.0175,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,construction,-17.5,17.5,0.2916666666666667,0.0,0.14583333333333334,0.2916666666666667,0.4375,1.0,1.0364583333333333,1.0729166666666667,1.109375,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,finance,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,information_software_it,13.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,leasing_business_services,-9.4,9.4,0.15666666666666668,0.0,0.07833333333333334,0.15666666666666668,0.23500000000000001,1.0,1.0195833333333333,1.0391666666666666,1.05875,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,manufacturing_industry,-10.2,10.2,0.16999999999999998,0.0,0.08499999999999999,0.16999999999999998,0.255,1.0,1.02125,1.0425,1.06375,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,other_services,-1.8,1.8,0.030000000000000002,0.0,0.015000000000000001,0.030000000000000002,0.045000000000000005,1.0,1.00375,1.0075,1.01125,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,real_estate,-6.1,6.1,0.10166666666666666,0.0,0.05083333333333333,0.10166666666666666,0.15249999999999997,1.0,1.0127083333333333,1.0254166666666666,1.038125,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_60p0,single_factor,c_pp,transport_storage_post,-14.0,14.0,0.23333333333333334,0.0,0.11666666666666667,0.23333333333333334,0.35,1.0,1.0291666666666666,1.0583333333333333,1.0875,60.0,0.25,1.5,max_known_S,0.5883333333333333,0.15666666666666668,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
